Periode_laporan,org,sector,kategory_ub,saluran_umpan_balik,status,Kabupaten/kota,Kecamatan,Desa/posko/huntara,LAT,LON
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Kinovaro,,-0.9456533,119.811766
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Air Bersih & Sanitasi,Permintaan Bantuan,Telepon/Hotline,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Helpdesk,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Air Bersih & Sanitasi,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Informasi/laporan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Informasi/laporan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Perlindungan,Informasi/laporan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Informasi/laporan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Informasi/laporan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Perlindungan,Permintaan Bantuan,Kotak Saran,Selesai,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Hunian & non pangan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Hunian & non pangan,Informasi/laporan,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Hunian & non pangan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Hunian & non pangan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Hunian & non pangan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Hunian & non pangan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Hunian & non pangan,Ucapan Terima Kasih,Kotak Saran,Selesai,Donggala,Sindue,,-0.5653651,119.851289
